Packed Pixel Data (Hex) - Intel Style - 4:2:0, 16-bit
Block (72,2): Cb=3 Cr=9 Y0=ad Y1=af Y2=ab Y3=ad
Block (74,2): Cb=3 Cr=9 Y0=ae Y1=af Y2=ab Y3=ac
Block (76,2): Cb=4 Cr=9 Y0=b1 Y1=b2 Y2=ae Y3=ad
Block (78,2): Cb=4 Cr=8 Y0=b3 Y1=b4 Y2=af Y3=b2
Block (80,2): Cb=4 Cr=8 Y0=b6 Y1=b8 Y2=b3 Y3=b4
Block (82,2): Cb=4 Cr=8 Y0=b8 Y1=b9 Y2=b5 Y3=b6
Block (84,2): Cb=4 Cr=8 Y0=b9 Y1=b8 Y2=b6 Y3=b6
Block (86,2): Cb=5 Cr=8 Y0=b7 Y1=b6 Y2=b6 Y3=b6
Block (88,2): Cb=5 Cr=8 Y0=b6 Y1=b4 Y2=b5 Y3=b4
Block (90,2): Cb=5 Cr=8 Y0=b2 Y1=b3 Y2=b3 Y3=b3
Block (92,2): Cb=5 Cr=8 Y0=b1 Y1=ae Y2=b1 Y3=ae
Block (94,2): Cb=5 Cr=8 Y0=ac Y1=aa Y2=ac Y3=ab
Block (96,2): Cb=5 Cr=7 Y0=a7 Y1=a5 Y2=aa Y3=a9
Block (98,2): Cb=6 Cr=7 Y0=a7 Y1=aa Y2=a7 Y3=ab
Block (100,2): Cb=6 Cr=7 Y0=9b Y1=99 Y2=9e Y3=9b
Block (102,2): Cb=6 Cr=7 Y0=96 Y1=94 Y2=99 Y3=96
Block (104,2): Cb=7 Cr=7 Y0=91 Y1=8d Y2=92 Y3=8e
Block (106,2): Cb=7 Cr=6 Y0=8a Y1=88 Y2=8c Y3=89
Block (108,2): Cb=7 Cr=6 Y0=88 Y1=87 Y2=89 Y3=87
Block (110,2): Cb=8 Cr=6 Y0=84 Y1=84 Y2=87 Y3=84
Block (112,2): Cb=8 Cr=6 Y0=83 Y1=82 Y2=82 Y3=81
Block (114,2): Cb=8 Cr=6 Y0=81 Y1=80 Y2=81 Y3=81
Block (116,2): Cb=8 Cr=6 Y0=80 Y1=7f Y2=81 Y3=7f
Block (118,2): Cb=8 Cr=6 Y0=7f Y1=7e Y2=7f Y3=7f
Block (120,2): Cb=8 Cr=6 Y0=7e Y1=7d Y2=7e Y3=7d
Block (122,2): Cb=8 Cr=6 Y0=7e Y1=7f Y2=7e Y3=7f
